userID,itemID,rating,SIDO,GENDER_encoded,AGE_GRP_encoded,MARR_STTS_encoded,INCOME,TRAVEL_NUM,TRAVEL_TERM_encoded,region_1,region_2,region_3,TRAVEL_STYL_1_encoded,TRAVEL_STYL_2_encoded,TRAVEL_STYL_3_encoded,TRAVEL_STYL_4_encoded,TRAVEL_STYL_5_encoded,TRAVEL_STYL_6_encoded,TRAVEL_STYL_7_encoded,TRAVEL_STYL_8_encoded
e000004,화성 관광열차 안내소 연무대 매표소,3.6666666666666665,경기,1,2,0.0,7,1,0.0,50_50110,42_42210,42_42170,1,1,1,1,1,1,1,1
e000004,창룡문,4.0,경기,1,2,0.0,7,1,0.0,50_50110,42_42210,42_42170,1,1,1,1,1,1,1,1
e000004,수원 화성 화홍문,3.3333333333333335,경기,1,2,0.0,7,1,0.0,50_50110,42_42210,42_42170,1,1,1,1,1,1,1,1
e000009,농협안성팜랜드,4.0,경기,0,1,0.0,4,1,0.0,42_42150,11_11440,41_41650,1,1,1,1,1,1,1,1
e000009,스타필드 안성,5.0,경기,0,1,0.0,4,1,0.0,42_42150,11_11440,41_41650,1,1,1,1,1,1,1,1
e000009,평택시 농업 생태원,5.0,경기,0,1,0.0,4,1,0.0,42_42150,11_11440,41_41650,1,1,1,1,1,1,1,1
e000010,롯데월드 샤롯데씨어터,5.0,서울,0,1,0.0,4,2,0.0,11_11710,11_11440,26_26350,1,1,1,1,1,1,1,1
e000010,롯데월드 샤롯데씨어터,5.0,서울,0,1,0.0,4,2,0.0,11_11710,11_11440,26_26350,1,1,1,1,1,1,1,1
e000011,인사동 문화의 거리,5.0,서울,0,4,0.0,7,1,0.0,48_48220,11_11560,26_26710,1,1,1,1,1,1,1,1
e000011,IFC 몰,4.0,서울,0,4,0.0,7,1,0.0,48_48220,11_11560,26_26710,1,1,1,1,1,1,1,1
e000013,파주 프리미엄 아울렛,5.0,경기,0,0,0.0,4,4,0.0,11_11110,30_30200,46_46820,1,1,1,1,1,1,1,1
e000013,이케아 광명점,5.0,경기,0,0,0.0,4,4,0.0,11_11110,30_30200,46_46820,1,1,1,1,1,1,1,1
e000014,에버랜드,5.0,경기,1,4,0.0,7,2,0.0,50_50130,42_42720,41_41820,1,1,1,1,1,1,1,1
e000015,스타필드 코엑스몰,4.333333333333333,서울,1,0,0.0,2,2,0.0,50_50130,26_26350,11_11215,1,1,1,1,1,1,1,1
e000015,서울어린이대공원,4.0,서울,1,0,0.0,2,2,0.0,50_50130,26_26350,11_11215,1,1,1,1,1,1,1,1
e000015,북촌 한옥마을,4.0,서울,1,0,0.0,2,2,0.0,50_50130,26_26350,11_11215,1,1,1,1,1,1,1,1
e000015,낙원악기상가,2.6666666666666665,서울,1,0,0.0,2,2,0.0,50_50130,26_26350,11_11215,1,1,1,1,1,1,1,1
e000016,현대 프리미엄 아울렛 김포점,4.0,경기,1,1,0.0,4,1,0.0,11_11500,41_41280,45_45110,1,1,1,1,1,1,1,1
